query_number,indexing_time_seconds,query_passed,answer_returned,model_name,is_reasoning_model,context_file,method_used,inference_time_ms,input_tokens,output_tokens,total_tokens,gpu_available,gpu_name,gpu_memory_used_mb,gpu_memory_total_mb,gpu_memory_percent,gpu_utilization_percent,ram_used_gb,ram_total_gb,ram_percent,timestamp
11,46.57,11. What year was the first bridge created according to the story?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.24,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.47,23.16,45.19,2026-03-18T16:28:55.554513
12,46.57,12. What is the name of the station where Aisha arrives?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.36,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.45,23.16,45.14,2026-03-18T16:28:55.584499
13,46.57,13. Who was Aisha's guide from the station to the manor?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,11.25,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.47,23.16,45.2,2026-03-18T16:28:55.618352
14,46.57,14. What color was the dress of the figure waiting on the platform?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,11.58,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.46,23.16,45.17,2026-03-18T16:28:55.648696
15,46.57,15. What does the obsidian mirror represent in the chamber?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.71,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.47,23.16,45.19,2026-03-18T16:28:55.676269
16,46.57,16. What is the name of Captain Hari's drink in the village tavern?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.92,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.48,23.16,45.25,2026-03-18T16:28:55.702992
17,46.57,17. What did Aisha's grandmother try to end?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.0,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.49,23.16,45.29,2026-03-18T16:28:55.728621
18,46.57,18. What was the price paid to The Watcher in the bargain?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.15,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.49,23.16,45.29,2026-03-18T16:28:55.756454
19,46.57,19. Where does Aisha work as a psychiatrist?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.92,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.5,23.16,45.32,2026-03-18T16:28:55.783107
20,46.57,20. How many parts/chapters are in the story structure?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.91,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.5,23.16,45.36,2026-03-18T16:28:55.810406
21,46.57,21. Describe what The Watcher actually is in the story.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.24,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.45,2026-03-18T16:28:55.838852
22,46.57,22. What warning did Aditi give Aisha on her first night?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,8.58,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.45,2026-03-18T16:28:55.866250
23,46.57,23. What did Aisha find behind the hidden door in the east wing?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,14.47,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.55,23.16,45.54,2026-03-18T16:28:55.899935
24,46.57,24. How did Captain Hari describe what happened to the seven people in 1894?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.28,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.49,2026-03-18T16:28:55.927728
25,46.57,25. What was the photograph in Marcus's journal showing?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,8.36,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.53,2026-03-18T16:28:55.955966
26,46.57,"26. What did Aisha's mother tell her about ""the between""?",No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,11.25,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.47,2026-03-18T16:28:55.985773
27,46.57,27. What did Aisha need to do to become the lock-keeper?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.95,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.48,2026-03-18T16:28:56.011471
28,46.57,28. What warning was written inside Aisha's locket?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.89,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.52,23.16,45.42,2026-03-18T16:28:56.038313
29,46.57,29. How did The Watcher describe itself to Aisha?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.0,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.52,23.16,45.41,2026-03-18T16:28:56.066895
30,46.57,30. What did Meera Desai try to do with The Watcher?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,11.95,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.51,23.16,45.4,2026-03-18T16:28:56.100439
31,46.57,31. What was written in the note Aditi gave Aisha?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.24,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.52,23.16,45.41,2026-03-18T16:28:56.134835
32,46.57,32. What did Aisha find in her grandmother's journal about The Watcher?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.7,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.48,2026-03-18T16:28:56.160906
33,46.57,33. How long had Captain Hari been waiting for the mist to lift?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.83,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.45,2026-03-18T16:28:56.187979
34,46.57,34. What did The Watcher want from humanity according to Sunita?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.77,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.46,2026-03-18T16:28:56.214887
35,46.57,35. What happened to Meera Desai after she tried to control The Watcher?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,13.0,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.53,2026-03-18T16:28:56.246644
36,46.57,36. What did Captain Hari carry with him when he emerged from the hidden passage?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,13.08,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.53,2026-03-18T16:28:56.279998
37,46.57,37. What did Aisha see in the mirror when it opened like a door?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.65,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.56,23.16,45.59,2026-03-18T16:28:56.315101
38,46.57,38. How did the mist finally lift from Kodalipur?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,9.61,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.52,2026-03-18T16:28:56.347487
39,46.57,39. What was Sunita's relationship to the original seven who vanished?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.97,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.53,2026-03-18T16:28:56.383009
40,46.57,40. What lesson did Aisha learn at the end of the story?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.17,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.47,2026-03-18T16:28:56.415291
41,46.57,41. Dr. Aisha Sharma was summoned to Kodalipur by her uncle Marcus.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.68,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.5,2026-03-18T16:28:56.442058
42,46.57,42. The Seven vanished in the year 1894 from Kodalipur.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.82,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.5,2026-03-18T16:28:56.467532
43,46.57,"43. Marcus was actually Aisha's father, not her uncle.",No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,8.12,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.45,2026-03-18T16:28:56.497495
44,46.57,44. Aditi Ravanhalli became the lock-keeper of the chamber.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.28,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.52,2026-03-18T16:28:56.530769
45,46.57,45. The Watcher was described as a demon in the story.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.15,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.56,23.16,45.59,2026-03-18T16:28:56.557033
46,46.57,46. Meera Desai succeeded in controlling The Watcher.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.62,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.5,2026-03-18T16:28:56.591752
47,46.57,47. Captain Hari Prakash was a survivor of the 1894 events.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.62,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.47,2026-03-18T16:28:56.618808
48,46.57,48. The obsidian mirror was located on a stone altar in the chamber.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.26,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.48,2026-03-18T16:28:56.645717
49,46.57,"49. Aisha's mother Sunita was pregnant when she entered ""the between"".",No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,8.45,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.48,2026-03-18T16:28:56.673427
50,46.57,50. The creature that escaped was older than The Watcher.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.81,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.52,23.16,45.42,2026-03-18T16:28:56.701838
51,46.57,51. Thomas Ravanhalli was the head of the Ravanhalli family.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.17,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.51,23.16,45.36,2026-03-18T16:28:56.728456
52,46.57,52. The first bridge was created in 1664.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,11.4,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.51,23.16,45.4,2026-03-18T16:28:56.761816
53,46.57,53. Aditi was Thomas Ravanhalli's daughter.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.56,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.47,2026-03-18T16:28:56.791419
54,46.57,54. Captain Hari died before Aisha's final confrontation with the creature.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,9.03,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.47,2026-03-18T16:28:56.818499
55,46.57,55. The Watcher was destroyed at the end of the story.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.92,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.52,23.16,45.44,2026-03-18T16:28:56.853466
56,46.57,56. The train pulled into __________ Station in October mist.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.15,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.52,23.16,45.44,2026-03-18T16:28:56.878856
57,46.57,57. Aisha is a __________ from Bombay.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.19,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.52,2026-03-18T16:28:56.902816
58,46.57,58. The Seven chairs were arranged in a __________ chamber.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,11.44,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.52,2026-03-18T16:28:56.932463
59,46.57,59. Captain Hari was found in the village __________.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.5,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.57,23.16,45.62,2026-03-18T16:28:56.959866
60,46.57,60. The key was hidden inside Aisha's __________.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.16,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.57,23.16,45.62,2026-03-18T16:28:56.987796
61,46.57,61. The mirror's surface was black as __________.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.31,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.57,23.16,45.66,2026-03-18T16:28:57.013404
62,46.57,62. Aditi whispered that someone was inside __________.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,9.69,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.55,23.16,45.57,2026-03-18T16:28:57.044124
63,46.57,63. The Watcher existed in the space __________.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,13.01,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.51,2026-03-18T16:28:57.079003
64,46.57,64. Captain Hari carried a silver __________.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,11.77,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.51,2026-03-18T16:28:57.110819
65,46.57,65. The letter was sealed with the __________ family seal.,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,8.58,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.53,23.16,45.48,2026-03-18T16:28:57.141340
66,46.57,66. Did Aisha know Marcus was her father before reading the journal?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.25,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.51,2026-03-18T16:28:57.168244
67,46.57,67. Was the door in the east wing supposed to be locked?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,9.88,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.5,2026-03-18T16:28:57.197400
68,46.57,68. Did The Watcher want to harm humanity?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.08,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.5,2026-03-18T16:28:57.231018
69,46.57,69. Did Aisha ever meet her mother in physical form before the end?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,9.07,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.52,2026-03-18T16:28:57.258936
70,46.57,70. Was Meera Desai successful in her attempt to control The entity?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.32,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.54,23.16,45.49,2026-03-18T16:28:57.288294
71,46.57,71. Did Captain Hari witness the original events of 1894?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.93,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.55,23.16,45.53,2026-03-18T16:28:57.313552
72,46.57,72. Was the creature in the mirror the same as The Watcher?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.18,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.55,23.16,45.57,2026-03-18T16:28:57.339229
73,46.57,73. Did Aditi volunteer to become the lock-keeper?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,8.31,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.55,23.16,45.57,2026-03-18T16:28:57.368034
74,46.57,74. Did the mist lift permanently after Aisha's choice?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.88,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.56,23.16,45.6,2026-03-18T16:28:57.395846
75,46.57,75. Were there more entities like The Watcher in the between?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.4,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,6.0,10.56,23.16,45.59,2026-03-18T16:28:57.421656
76,46.57,76. Why did Marcus leave the key and journal for Aisha?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.36,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.57,23.16,45.63,2026-03-18T16:28:57.453762
77,46.57,77. How did Aisha become the bridge?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.94,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.56,23.16,45.61,2026-03-18T16:28:57.481621
78,46.57,78. Why did The Watcher want seven human minds?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.01,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.56,23.16,45.62,2026-03-18T16:28:57.509923
79,46.57,79. How was Aisha supposed to end the cycle according to her grandmother?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,10.68,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.56,23.16,45.61,2026-03-18T16:28:57.538523
80,46.57,80. Why did Aditi warn Aisha to leave before the third night?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.7,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.56,23.16,45.61,2026-03-18T16:28:57.565996
81,46.57,"81. How did The Watcher describe ""the between""?",No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,12.98,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.56,23.16,45.59,2026-03-18T16:28:57.599657
82,46.57,82. Why couldn't Meera control The Watcher?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.43,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.54,23.16,45.53,2026-03-18T16:28:57.627534
83,46.57,83. How did Sunita become able to exist in physical form again?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.35,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.54,23.16,45.49,2026-03-18T16:28:57.655023
84,46.57,84. Why were there more entities in the between?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.7,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.54,23.16,45.53,2026-03-18T16:28:57.681038
85,46.57,85. How did Captain Hari know about Aisha's grandmother?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,5.95,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.55,23.16,45.56,2026-03-18T16:28:57.707142
86,46.57,86. When did the seven people vanish from Kodalipur?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,9.54,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.57,23.16,45.63,2026-03-18T16:28:57.735846
87,46.57,87. Where was the hidden chamber located in the manor?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.76,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.57,23.16,45.63,2026-03-18T16:28:57.762749
88,46.57,88. When did Aisha first hear the whisper in the dark?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.04,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.57,23.16,45.63,2026-03-18T16:28:57.790007
89,46.57,89. Where did Captain Hari take Aisha to learn about 1894?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.47,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.55,23.16,45.57,2026-03-18T16:28:57.819282
90,46.57,90. When did Thomas Ravanhalli call the family together?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,11.14,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.57,23.16,45.64,2026-03-18T16:28:57.852667
91,46.57,91. Where did Aisha find her grandmother's journal?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,9.24,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.58,23.16,45.67,2026-03-18T16:28:57.881657
92,46.57,92. When did the mist finally lift from Kodalipur?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.36,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.58,23.16,45.68,2026-03-18T16:28:57.908040
93,46.57,93. Where did Sunita explain the truth about The Unknown?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,7.39,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.59,23.16,45.71,2026-03-18T16:28:57.935364
94,46.57,94. When did Captain Hari die peacefully?,No results found,deepseek-r1:1.5b,True,N/A,hybrid_alpha_0.5,6.28,0,0,0,True,NVIDIA GeForce RTX 3050 Laptop GPU,683.0,4096.0,16.67,4.0,10.6,23.16,45.77,2026-03-18T16:28:57.961256
